TM109,Digital Asset Management,Payments,FP016,AI,demo-bank-payments,P1,Y,Digital_All,TM109,No,ƒ?? Core,Manage trade digital assets NFTs,J21+PY,,99.90%,Covered
TM110,Financial Health Scoring,Lending & Credit,FP017,LEND,demo-bank-services,P1,Y,Digital_All,TM110,No,ƒ?? Core,Alternative data credit scoring,PY,TM079,99.90%,Covered
TM102,AI Financial Planning Tool,AI & ML,FP018,AI,demo-bank-platform,P1,Y,Digital_All,TM102+TM080,Yes,ƒ?? New TM102,ML NLP data analytics planning,PY+J21,TM080,99.90%,Covered
TM074,Regulatory Reporting,Security & Compliance,SC001,SEC,demo-bank-security,P1,Y,Digital_All,TM074+TM108,No,ƒ?? Core,Regulatory reporting services,J21,TM108,99.90%,Covered
TM078,AML Fraud Detection,Security & Compliance,SC002,SEC,demo-bank-security,P1,Y,Digital_All,TM078+TM081,No,ƒ?? Core,Detect prevent money laundering,J21+PY,TM080,50ms,Covered
TM096,KYC Identity Verification,Security & Compliance,SC003,SEC,demo-bank-security,P1,Y,Digital_All,TM096+TM043,No,ƒ?? Core,Verify customer identities,J21+PY,TM043,99.90%,Covered
TM096,Biometric Authentication,Security & Compliance,SC004,SEC,demo-bank-security,P1,Y,Digital_All,TM096,No,ƒ?? Core,Biometric data authentication,J21,,99.90%,Covered
TM086,Digital Identity Management,Core Banking,SC005,CORE,demo-bank-core,P1,Y,Digital_All,TM086,No,ƒ?? Core,Manage digital identities DID,J21,TM001,99.90%,Covered
TM108,RegTech Compliance,Security & Compliance,SC006,SEC,demo-bank-security,P1,Y,"Digital_All,TOC_II",TM108,No,ƒ?? Core,Regulatory technology compliance,J21,TM043,99.99%,Covered
TM061,Quantum Computing Security,Security & Compliance,SC007,SEC,demo-bank-security,P1,Y,"Digital_All,TOC_II",TM061,No,ƒ?? Core,Quantum-safe encryption QRC,J21,,99.99%,Covered
TM089,Biometric Payment Cards,Payments,SC008,CARD,demo-bank-payments,P1,Y,Digital_All,TM089,No,ƒ?? Core,Issue biometric payment cards,J21,TM061,99.99%,Covered
TM107,Agentic AI Fraud Detection,Operations & Efficiency,SC009,AI,demo-bank-platform,P1,Y,"Digital_All,TOC_II",TM107+TM081,Yes,ƒ?? New TM107,AI for fraud detection prevention,PY+J21,TM081,99.90%,Covered
TM107,Predictive Maintenance,Operations & Efficiency,SC0110,AI,demo-bank-platform,P1,Y,Digital_All,TM107,Yes,ƒ?? New TM107,Predict prevent system failures,PY+J21,TM098,99.90%,Covered
TM108,Automated Compliance,Security & Compliance,SC011,SEC,demo-bank-security,P1,Y,Digital_All,TM108,No,ƒ?? Core,Automate compliance processes,J21,TM043,99.99%,Covered
TM078,Real-Time Transaction Monitoring,Security & Compliance,SC012,SEC,demo-bank-security,P1,Y,Digital_All,TM078+TM081,No,ƒ?? Core,Monitor transactions detect fraud,J21+PY,TM080,50ms,Covered
TM060,Instant Notifications,CX,SC013,DX,demo-bank-channels,P1,Y,Digital_All,TM060,No,ƒ?? Core,Instant notifications transactions,J21,,99.90%,Covered
TM097,Blockchain Secure Document Storage,Operations,SC014,OPS,demo-bank-platform,P1,Y,Digital_All,TM097+TM109,No,ƒ?? Core,Blockchain tamper-proof storage,J21,TM109,99.90%,Covered
TM081,Real-Time Fraud Detection System,Security & Compliance,SC015,SEC,demo-bank-security,P1,Y,Digital_All,TM081,No,ƒ?? Core,ML algorithms prevent fraud,J21+PY,TM080,50ms,Covered
TM112,Voice Banking,Channels,DX001,DX,demo-bank-channels,P1,Y,"Digital_All,TOC_II",TM112,No,ƒ?? Core,Voice-activated banking services,J21,TM060,99.90%,Covered
TM094,Educational Content,CX,DX002,CX,demo-bank-channels,P1,Y,Digital_All,TM094,No,ƒ?? Core,Financial literacy resources,J21+React,TM011,99.90%,Covered
TM106,Community Features,CX,DX003,DX,demo-bank-channels,P2,Y,Digital_All,TM106,Yes,ƒ?? New TM106,Community platform for users,J21+React,TM094,99.90%,Covered
TM094,Customizable Dashboards,CX,DX004,CX,demo-bank-channels,P1,Y,Digital_All,TM094+TM076,No,ƒ?? Core,Customize user dashboards,J21+React,TM076,99.90%,Covered
TM085,Product Service Offers,CX,DX005,CX,demo-bank-analytics,P1,Y,Digital_All,TM085+TM080,No,ƒ?? Core,Personalized product recommendations,J21+PY,TM080,99.90%,Covered
TM112,ARVR Banking Experiences,Channels,DX006,DX,demo-bank-channels,P3,Y,"Digital_All,TOC_II",TM112,No,ƒ?? Core,Immersive ARVR banking,J21+React,TM094,99.90%,Covered
TM094,Gamification Incentives,CX,DX007,CX,demo-bank-channels,P1,Y,Digital_All,TM094+TM085,No,ƒ?? Core,Gamification financial behavior,J21+React,TM085,99.90%,Covered
TM104,Open Banking APIs,Open Banking,DX008,AI,demo-bank-platform,P1,Y,Digital_All,TM104+TM013,Yes,ƒ?? New TM104,Open banking APIs third-party,J21,TM065,99.90%,Covered
TM104,API Marketplace,Open Banking,DX009,AI,demo-bank-platform,P1,Y,"Digital_All,TOC_II",TM104,Yes,ƒ?? New TM104,API marketplace third-party,J21,TM065,99.90%,Covered
TM112,Metaverse Banking,Channels,DX010,DX,demo-bank-channels,P3,Y,Digital_All,TM112,No,ƒ?? Core,Banking services in metaverse,J21+React,TM094,99.90%,Covered
TM102,Generative AI Chatbots,AI & ML,DX011,AI,demo-bank-platform,P1,Y,Digital_All,TM102,Yes,ƒ?? New TM102,AI-powered chatbots support,PY+J21,TM080,99.90%,Covered
TM094,Financial Literacy Programs,CX,DX012,CX,demo-bank-channels,P1,Y,Digital_All,TM094,No,ƒ?? Core,Financial literacy programs,J21+React,TM011,99.90%,Covered
TM085,Customer Segmentation,CX,DX013,CX,demo-bank-analytics,P1,Y,Digital_All,TM085,No,ƒ?? Core,Segment customers behavior demographics,J21+PY,TM080,99.90%,Covered
TM085,Targeted Marketing Campaigns,CX,DX014,CX,demo-bank-analytics,P1,Y,Digital_All,TM085,No,ƒ?? Core,Personalized marketing campaigns,J21+PY,TM080,99.90%,Covered
TM085,Lifestyle-Based Segmentation,CX,DX015,CX,demo-bank-analytics,P1,Y,Digital_All,TM085,No,ƒ?? Core,Segment by lifestyle interests,J21+PY,TM080,99.90%,Covered
TM085,Behavioral Segmentation,CX,DX016,CX,demo-bank-analytics,P1,Y,Digital_All,TM085,No,ƒ?? Core,Segment by transaction patterns,J21+PY,TM080,99.90%,Covered
TM095,Virtual Branch Services,CX,DX017,CX,demo-bank-channels,P1,Y,Digital_All,TM095+TM112,No,ƒ?? Core,Virtual banking services support,J21,TM015,99.90%,Covered
TM088,Real-time Payment Processing,Payments,,PAY,demo-bank-payments,P1,Y,TOC_II,TM088,No,ƒ?? Core,Real-time payment processing,J21+Kafka,TM006,99.99%,Covered
TM089,Contactless Payments,Payments,,CARD,demo-bank-payments,P1,Y,TOC_II,TM089,No,ƒ?? Core,Contactless tap-to-pay,J21,TM061,99.99%,Covered
TM091,Digital Wallets,Core Banking,,CORE,demo-bank-core,P1,Y,TOC_II,TM091+TM088,No,ƒ?? Core,Digital wallet management,J21,TM033,99.90%,Covered
TM112,Voice-Activated Payments 2,Channels,PT007,DX,demo-bank-channels,P1,Y,TOC_II,TM112,No,ƒ?? Core,Voice payments NLP,J21,TM060,99.90%,Covered
TM095,Cardless ATM Withdrawals,CX,,CX,demo-bank-channels,P1,Y,TOC_II,TM095+TM112,No,ƒ?? Core,Cardless ATM withdrawals,J21,TM015,99.90%,Covered
TM088,QR Code Payments 2,Payments,,PAY,demo-bank-payments,P1,Y,TOC_II,TM088,No,ƒ?? Core,QR code payments,J21,TM006,99.99%,Covered
TM089,Biometric Payment Cards 2,Payments,SC008,CARD,demo-bank-payments,P1,Y,TOC_II,TM089,No,ƒ?? Core,Biometric payment cards,J21,TM061,99.99%,Covered
TM111,Social Commerce Payments 2,Open Banking,PT0098,PAY,demo-bank-payments,P1,Y,TOC_II,TM111,Yes,ƒ?? New TM111,Social commerce payment flows,J21,TM104,99.90%,Covered
TM080,Predictive Analytics 2,Analytics & Insights,,AI,demo-bank-analytics,P1,Y,TOC_II,TM080,No,ƒ?? Core,Predictive analytics engine,PY,,99.90%,Covered
TM102,Chatbots Virtual Assistants,AI & ML,,AI,demo-bank-platform,P1,Y,TOC_II,TM102,Yes,ƒ?? New TM102,Chatbots and virtual assistants,PY+J21,TM080,99.90%,Covered
TM102,Hyper-Automated Conversational Banking,AI & ML,,AI,demo-bank-platform,P1,Y,TOC_II,TM102+TM107,Yes,ƒ?? New TM107,Hyper-automated conversational banking,PY+J21,TM102,99.90%,Covered
TM102,AI-Driven Financial Forecasting,AI & ML,,AI,demo-bank-platform,P1,Y,TOC_II,TM102+TM080,Yes,ƒ?? New TM102,AI financial forecasting,PY+J21,TM080,99.90%,Covered
TM107,Agentic AI,Operations & Efficiency,,AI,demo-bank-platform,P1,Y,TOC_II,TM107,Yes,ƒ?? New TM107,AI agents autonomous actions,PY+J21,,99.90%,Covered
TM102,Generative AI,AI & ML,,AI,demo-bank-platform,P1,Y,TOC_II,TM102,Yes,ƒ?? New TM102,Generative AI content code,PY+J21,TM080,99.90%,Covered
TM109,Secure Transparent Transactions,Payments,,PAY,demo-bank-payments,P1,Y,TOC_II,TM109,No,ƒ?? Core,Blockchain secure transactions,J21+PY,,99.90%,Covered
TM109,Smart Contracts,Payments,,PAY,demo-bank-payments,P1,Y,TOC_II,TM109,No,ƒ?? Core,Smart contracts execution,J21+PY,,99.90%,Covered
TM109,Blockchain-Based Payment Processing,Payments,,PAY,demo-bank-payments,P1,Y,TOC_II,TM109,No,ƒ?? Core,Blockchain payment rails,J21+PY,,99.90%,Covered
TM109,RWA Tokenization,Payments,,PAY,demo-bank-payments,P1,Y,TOC_II,TM109,No,ƒ?? Core,Real-world asset tokenization,J21+PY,,99.90%,Covered
TM109,DeFi 2.0,Payments,,PAY,demo-bank-payments,P1,Y,TOC_II,TM109,No,ƒ?? Core,Decentralized Finance 2.0,J21+PY,,99.90%,Covered
TM086,Decentralized Identity Management,Core Banking,,CORE,demo-bank-core,P1,Y,TOC_II,TM086,No,ƒ?? Core,Decentralized identity DID,J21,TM001,99.90%,Covered
TM109,Tokenization of Real-World Assets,Payments,,PAY,demo-bank-payments,P1,Y,TOC_II,TM109,No,ƒ?? Core,RWA tokenization platform,J21+PY,,99.90%,Covered
TM109,Cryptocurrency Custody Solutions,Payments,,PAY,demo-bank-payments,P1,Y,TOC_II,TM109,No,ƒ?? Core,Crypto custody wallet management,J21+PY,,99.90%,Covered
TM094,Mobile-First Approach,CX,,CX,demo-bank-channels,P1,Y,TOC_II,TM094,No,ƒ?? Core,Mobile-first banking design,J21+React,TM011,99.90%,Covered
TM091,Digital Wallets 2,Core Banking,,CORE,demo-bank-core,P1,Y,TOC_II,TM091,No,ƒ?? Core,Digital wallets 2,J21,TM033,99.90%,Covered
TM094,Mobile Banking App Biometric,CX,,CX,demo-bank-channels,P1,Y,TOC_II,TM094+TM096,No,ƒ?? Core,Mobile app biometric security,J21+React,TM096,99.90%,Covered
TM112,Wearable Integration,Channels,,DX,demo-bank-channels,P2,Y,TOC_II,TM112,No,ƒ?? Core,Wearable device integration,J21,TM060,99.90%,Covered
TM106,Super Apps,CX,,CX,demo-bank-channels,P2,Y,TOC_II,TM106,Yes,ƒ?? New TM106,Super app mini-program framework,J21+React,TM094,99.90%,Covered
TM112,Voice Banking 2,Channels,,DX,demo-bank-channels,P1,Y,TOC_II,TM112,No,ƒ?? Core,Voice banking assistant,J21,TM060,99.90%,Covered
TM061,Enhanced Security Measures,Security & Compliance,,SEC,demo-bank-security,P1,Y,TOC_II,TM061,No,ƒ?? Core,Enhanced security measures,J21,,99.99%,Covered
TM061,Zero-Trust Architecture,Security & Compliance,,SEC,demo-bank-security,P1,Y,TOC_II,TM061,No,ƒ?? Core,Zero-trust architecture ZTA,J21,,99.99%,Covered
TM096,Advanced MFA,Security & Compliance,,SEC,demo-bank-security,P1,Y,TOC_II,TM096,No,ƒ?? Core,Advanced multi-factor authentication,J21,,99.90%,Covered
TM061,Quantum-Resistant Cryptography,Security & Compliance,,SEC,demo-bank-security,P1,Y,TOC_II,TM061,No,ƒ?? Core,Quantum-resistant cryptography QRC,J21,,99.99%,Covered
TM085,Personalized Banking Experiences,CX,,CX,demo-bank-analytics,P1,Y,TOC_II,TM085,No,ƒ?? Core,Personalized banking experiences,J21+PY,TM080,99.90%,Covered
TM102,GenAI for Smarter Banking,AI & ML,,AI,demo-bank-platform,P1,Y,TOC_II,TM102,Yes,ƒ?? New TM102,GenAI for smarter banking,PY+J21,TM080,99.90%,Covered
TM102,Robo-Advisors,AI & ML,FP012,AI,demo-bank-platform,P1,Y,TOC_II,TM102+TM038,Yes,ƒ?? New TM102,Robo-advisory services,PY+J21,TM038,99.90%,Covered
TM085,Customer Segmentation 2,CX,DX013,CX,demo-bank-analytics,P1,Y,TOC_II,TM085,No,ƒ?? Core,Customer segmentation analytics,J21+PY,TM080,99.90%,Covered
TM085,Personalized Recommendations,CX,,CX,demo-bank-analytics,P1,Y,TOC_II,TM085,No,ƒ?? Core,Personalized recommendations,J21+PY,TM080,99.90%,Covered
TM080,Predictive Analytics 3,Analytics & Insights,,AI,demo-bank-analytics,P1,Y,TOC_II,TM080,No,ƒ?? Core,Predictive analytics 3,PY,,99.90%,Covered
TM085,Customer Data Analytics,CX,,CX,demo-bank-analytics,P1,Y,TOC_II,TM085,No,ƒ?? Core,Customer data analytics,J21+PY,TM080,99.90%,Covered
TM086,Digital Identities,Core Banking,,CORE,demo-bank-core,P1,Y,TOC_II,TM086,No,ƒ?? Core,Digital identities management,J21,TM001,99.90%,Covered
TM080,Real-Time Data Analytics,Analytics & Insights,,AI,demo-bank-analytics,P1,Y,TOC_II,TM080,No,ƒ?? Core,Real-time data analytics,PY,,99.90%,Covered
TM076,AI-Augmented Visualization,Analytics & Insights,,AI,demo-bank-analytics,P1,Y,TOC_II,TM076,No,ƒ?? Core,AI-augmented visualization,J21,TM075,99.90%,Covered
TM076,AI-Powered Data Visualization,Analytics & Insights,,AI,demo-bank-analytics,P1,Y,TOC_II,TM076,No,ƒ?? Core,AI-powered data visualization,J21,TM075,99.90%,Covered
TM076,Augmented Analytics,Analytics & Insights,,AI,demo-bank-analytics,P1,Y,TOC_II,TM076,No,ƒ?? Core,Augmented analytics,J21,TM075,99.90%,Covered
TM112,Immersive Data Visualization ARVR,Analytics & Insights,,AI,demo-bank-analytics,P3,Y,TOC_II,TM112+TM076,No,ƒ?? Core,ARVR immersive data visualization,J21,TM076,99.90%,Covered
TM080,Predictive Prescriptive Analytics,Analytics & Insights,,AI,demo-bank-analytics,P1,Y,TOC_II,TM080,No,ƒ?? Core,Predictive and prescriptive analytics,PY,,99.90%,Covered
TM076,Collaborative Data Storytelling,Analytics & Insights,,AI,demo-bank-analytics,P1,Y,TOC_II,TM076,No,ƒ?? Core,Collaborative data storytelling,J21,TM075,99.90%,Covered
TM076,Multi-Modal Dashboards,Analytics & Insights,,AI,demo-bank-analytics,P1,Y,TOC_II,TM076,No,ƒ?? Core,Multi-modal dashboards,J21,TM075,99.90%,Covered
TM076,Explainable Ethical Transparent Viz,Analytics & Insights,,AI,demo-bank-analytics,P1,Y,TOC_II,TM076,No,ƒ?? Core,Explainable ethical visualization,J21,TM075,99.90%,Covered
TM103,Sustainability-Focused Visualizations,Analytics & Insights,,AI,demo-bank-analytics,P2,Y,TOC_II,TM103+TM076,Yes,ƒ?? New TM103,Sustainability visualizations,PY+J21,TM075,99.90%,Covered
TM076,Hyper-Personalized Dashboards,Analytics & Insights,,AI,demo-bank-analytics,P1,Y,TOC_II,TM076+TM085,No,ƒ?? Core,Hyper-personalized dashboards,J21,TM085,99.90%,Covered
TM107,Autonomous Analytics Agents,Analytics & Insights,,AI,demo-bank-analytics,P1,Y,TOC_II,TM107,Yes,ƒ?? New TM107,Autonomous analytics agents,PY+J21,TM080,99.90%,Covered
TM104,Data Sharing Embedded Analytics,Analytics & Insights,,AI,demo-bank-analytics,P1,Y,TOC_II,TM104+TM076,Yes,ƒ?? New TM104,Data sharing embedded analytics,J21,TM076,99.90%,Covered
TM086,Account Aggregation,Core Banking,,CORE,demo-bank-core,P1,Y,TOC_II,TM086,No,ƒ?? Core,Account aggregation service,J21,TM001,99.90%,Covered
TM079,Risk Management,Analytics & Insights,,RISK,demo-bank-security,P1,Y,TOC_II,TM079,No,ƒ?? Core,Risk management analytics,J21,TM080,99.90%,Covered
TM066,Cloud Storage,Platform,,PLAT,demo-bank-platform,P1,Y,TOC_II,TM066,No,ƒ?? Core,Cloud storage infrastructure,J21,,99.99%,Covered
TM066,Object Storage,Platform,,PLAT,demo-bank-platform,P1,Y,TOC_II,TM066,No,ƒ?? Core,Object storage S3,J21,,99.99%,Covered
TM066,Solid-State Drives,Platform,,PLAT,demo-bank-platform,P1,Y,TOC_II,TM066,No,ƒ?? Core,SSD storage,J21,,99.99%,Covered
TM066,Storage Area Networks,Platform,,PLAT,demo-bank-platform,P1,Y,TOC_II,TM066,No,ƒ?? Core,SAN storage,J21,,99.99%,Covered
TM066,Network-Attached Storage,Platform,,PLAT,demo-bank-platform,P1,Y,TOC_II,TM066,No,ƒ?? Core,NAS storage,J21,,99.99%,Covered
TM066,Hybrid Cloud Storage,Platform,,PLAT,demo-bank-platform,P1,Y,TOC_II,TM066,No,ƒ?? Core,Hybrid cloud storage,J21,,99.99%,Covered
TM066,All-Flash Arrays,Platform,,PLAT,demo-bank-platform,P1,Y,TOC_II,TM066,No,ƒ?? Core,All-flash arrays,J21,,99.99%,Covered
TM066,Software-Defined Storage,Platform,,PLAT,demo-bank-platform,P1,Y,TOC_II,TM066,No,ƒ?? Core,Software-defined storage,J21,,99.99%,Covered
TM066,Hyperconverged Infrastructure,Platform,,PLAT,demo-bank-platform,P1,Y,TOC_II,TM066,No,ƒ?? Core,Hyperconverged infrastructure,J21,,99.99%,Covered
TM066,Data Reduction Technologies,Platform,,PLAT,demo-bank-platform,P1,Y,TOC_II,TM066,No,ƒ?? Core,Data reduction technologies,J21,,99.99%,Covered
TM066,Object-based Storage Systems,Platform,,PLAT,demo-bank-platform,P1,Y,TOC_II,TM066,No,ƒ?? Core,Object-based storage,J21,,99.99%,Covered
TM066,NVMe Storage,Platform,,PLAT,demo-bank-platform,P1,Y,TOC_II,TM066,No,ƒ?? Core,NVMe storage,J21,,99.99%,Covered
TM066,Storage Virtualization,Platform,,PLAT,demo-bank-platform,P1,Y,TOC_II,TM066,No,ƒ?? Core,Storage virtualization,J21,,99.99%,Covered
TM097,Data Archiving Compliance,Operations,,OPS,demo-bank-platform,P1,Y,TOC_II,TM097,No,ƒ?? Core,Data archiving compliance,J21,TM062,99.90%,Covered
TM112,Edge Storage,Platform,,PLAT,demo-bank-platform,P2,Y,TOC_II,TM112,No,ƒ?? Core,Edge storage,J21,,99.90%,Covered
TM066,In-memory Databases,Platform,,PLAT,demo-bank-platform,P1,Y,TOC_II,TM066,No,ƒ?? Core,In-memory databases Redis,J21+Redis,,99.99%,Covered
TM066,Cloud-native Databases,Platform,,PLAT,demo-bank-platform,P1,Y,TOC_II,TM066,No,ƒ?? Core,Cloud-native databases,J21,,99.99%,Covered
TM109,Blockchain DLT Storage,Platform,,PLAT,demo-bank-platform,P1,Y,TOC_II,TM109,No,ƒ?? Core,Blockchain distributed storage,J21+PY,,99.90%,Covered
TM061,Data Encryption,Security & Compliance,,SEC,demo-bank-security,P1,Y,TOC_II,TM061,No,ƒ?? Core,Data encryption at rest transit,J21,,99.99%,Covered
TM065,Access Control Authentication,Security & Compliance,,SEC,demo-bank-security,P1,Y,TOC_II,TM065,No,ƒ?? Core,Access control authentication,J21,,99.99%,Covered
TM081,Advanced Threat Detection,Security & Compliance,,SEC,demo-bank-security,P1,Y,TOC_II,TM081,No,ƒ?? Core,Advanced threat detection,J21+PY,TM080,50ms,Covered
TM096,Biometric Authentication 2,Security & Compliance,SC004,SEC,demo-bank-security,P1,Y,TOC_II,TM096,No,ƒ?? Core,Biometric authentication 2,J21,,99.90%,Covered
TM081,Advanced Threat Detection,Security & Compliance,,SEC,demo-bank-security,P1,Y,TOC_II,TM081,No,ƒ?? Core,Advanced threat detection,J21+PY,TM080,50ms,Covered
TM096,Biometric Authentication 2,Security & Compliance,SC004,SEC,demo-bank-security,P1,Y,TOC_II,TM096,No,ƒ?? Core,Biometric authentication 2,J21,,99.90%,Covered
TM078,Real-Time Transaction Monitoring 2,Security & Compliance,SC012,SEC,demo-bank-security,P1,Y,TOC_II,TM078,No,ƒ?? Core,Real-time transaction monitoring 2,J21+PY,TM080,50ms,Covered
TM081,Cybersecurity Threat Detection,Security & Compliance,,SEC,demo-bank-security,P1,Y,TOC_II,TM081,No,ƒ?? Core,Cybersecurity threat detection,J21+PY,TM080,50ms,Covered
TM061,Quantum-Safe Security,Security & Compliance,,SEC,demo-bank-security,P1,Y,TOC_II,TM061,No,ƒ?? Core,Quantum-safe security,J21,,99.99%,Covered
TM096,Voice-Based Authentication,Security & Compliance,,SEC,demo-bank-security,P1,Y,TOC_II,TM096,No,ƒ?? Core,Voice-based authentication,J21,,99.90%,Covered
TM074,Compliance Reporting,Security & Compliance,,SEC,demo-bank-security,P1,Y,TOC_II,TM074,No,ƒ?? Core,Compliance reporting,J21,TM108,99.90%,Covered
TM108,Regulatory Technology RegTech,Security & Compliance,,SEC,demo-bank-security,P1,Y,TOC_II,TM108,No,ƒ?? Core,Regulatory technology solutions,J21,TM043,99.99%,Covered
TM078,AML KYC Solutions,Security & Compliance,SC002+SC003,SEC,demo-bank-security,P1,Y,TOC_II,TM078+TM096,No,ƒ?? Core,AML KYC solutions,J21+PY,TM080,50ms,Covered
TM061,Data Privacy Protection,Security & Compliance,,SEC,demo-bank-security,P1,Y,TOC_II,TM061,No,ƒ?? Core,Data privacy and protection,J21,,99.99%,Covered
TM108,Regulatory Compliance PCI-DSS GDPR,Security & Compliance,,SEC,demo-bank-security,P1,Y,TOC_II,TM108,No,ƒ?? Core,Regulatory compliance PCI-DSS GDPR,J21,TM043,99.99%,Covered
TM079,Real-Time Risk Assessment,Risk & Compliance,,RISK,demo-bank-security,P1,Y,TOC_II,TM079,No,ƒ?? Core,Real-time risk assessment,J21+PY,TM080,99.90%,Covered
TM080,Predictive Risk Modeling,Risk & Compliance,,RISK,demo-bank-security,P1,Y,TOC_II,TM080,No,ƒ?? Core,Predictive risk modeling,PY,,99.90%,Covered
TM068,Risk-Based Authentication,Risk & Compliance,,RISK,demo-bank-security,P1,Y,TOC_II,TM068,No,ƒ?? Core,Risk-based authentication,J21+Redis,TM007,99.99%,Covered
TM079,Credit Risk Management,Risk & Compliance,,RISK,demo-bank-security,P1,Y,TOC_II,TM079,No,ƒ?? Core,Credit risk management,J21+PY,TM080,99.90%,Covered
TM050,Market Risk Management,Risk & Compliance,,RISK,demo-bank-security,P1,Y,TOC_II,TM050,No,ƒ?? Core,Market risk management,J21,,99.90%,Covered
TM069,Operational Risk Management,Operations,,OPS,demo-bank-platform,P1,Y,TOC_II,TM069,No,ƒ?? Core,Operational risk management,J21,TM098,99.90%,Covered
TM104,API-First Approach,Open Banking,,AI,demo-bank-platform,P1,Y,TOC_II,TM104,Yes,ƒ?? New TM104,API-first architecture,J21,TM065,99.90%,Covered
TM104,Open Banking Platforms,Open Banking,,AI,demo-bank-platform,P1,Y,TOC_II,TM104,Yes,ƒ?? New TM104,Open banking platforms,J21,TM065,99.90%,Covered
TM104,Open Banking APIs,Open Banking,,AI,demo-bank-platform,P1,Y,TOC_II,TM104,Yes,ƒ?? New TM104,Open banking APIs,J21,TM065,99.90%,Covered
TM111,Embedded Finance 2,Open Banking,,AI,demo-bank-platform,P1,Y,TOC_II,TM111,Yes,ƒ?? New TM111,Embedded finance 2,J21,TM104,99.90%,Covered
TM104,Composable Banking,Open Banking,,AI,demo-bank-platform,P1,Y,TOC_II,TM104,Yes,ƒ?? New TM104,Composable banking architecture,J21,TM065,99.90%,Covered
TM111,API-Driven Insurance Services,Open Banking,,AI,demo-bank-platform,P1,Y,TOC_II,TM111,Yes,ƒ?? New TM111,API-driven insurance services,J21,TM104,99.90%,Covered
TM109,Cryptocurrencies,Payments,,PAY,demo-bank-payments,P1,Y,TOC_II,TM109,No,ƒ?? Core,Cryptocurrency support,J21+PY,,99.90%,Covered
TM109,Central Bank Digital Currencies,Payments,,PAY,demo-bank-payments,P1,Y,TOC_II,TM109,No,ƒ?? Core,CBDC support,J21+PY,,99.90%,Covered
TM109,Stablecoins,Payments,,PAY,demo-bank-payments,P1,Y,TOC_II,TM109,No,ƒ?? Core,Stablecoin support,J21+PY,,99.90%,Covered
TM109,Digital Asset Tokenization,Payments,,PAY,demo-bank-payments,P1,Y,TOC_II,TM109,No,ƒ?? Core,Digital asset tokenization,J21+PY,,99.90%,Covered
TM066,Cloud-Native Architecture,Platform,,PLAT,demo-bank-platform,P1,Y,TOC_II,TM066,No,ƒ?? Core,Cloud-native architecture,J21,,99.99%,Covered
TM066,Cloud-Based Core Banking Systems,Platform,,PLAT,demo-bank-platform,P1,Y,TOC_II,TM066,No,ƒ?? Core,Cloud-based core banking,J21,,99.99%,Covered
TM112,IoT-based Payment Systems,Channels,,DX,demo-bank-channels,P2,Y,TOC_II,TM112,No,ƒ?? Core,IoT payment systems,J21,TM060,99.90%,Covered
TM112,IoT for Financial Inclusion,Channels,,DX,demo-bank-channels,P2,Y,TOC_II,TM112,No,ƒ?? Core,IoT for financial inclusion,J21,TM060,99.90%,Covered
TM107,Hyperautomation,Operations & Efficiency,,AI,demo-bank-platform,P1,Y,TOC_II,TM107,Yes,ƒ?? New TM107,Hyperautomation platform,PY+J21,TM098,99.90%,Covered
TM107,Intelligent Document Processing,Operations & Efficiency,,AI,demo-bank-platform,P1,Y,TOC_II,TM107,Yes,ƒ?? New TM107,Intelligent document processing,PY+J21,TM098,99.90%,Covered
TM108,Automated Compliance Reporting,Security & Compliance,,SEC,demo-bank-security,P1,Y,TOC_II,TM108,No,ƒ?? Core,Automated compliance reporting,J21,TM043,99.99%,Covered
TM107,Process Mining Optimization,Operations & Efficiency,,AI,demo-bank-platform,P1,Y,TOC_II,TM107,Yes,ƒ?? New TM107,Process mining and optimization,PY+J21,TM098,99.90%,Covered
TM105,Rapid Application Development,Operations,,OPS,demo-bank-platform,P2,Y,TOC_II,TM105,Yes,ƒ?? New TM105,Rapid application development,J21,,99.90%,Covered
TM105,Minimal Coding Requirements,Operations,,OPS,demo-bank-platform,P2,Y,TOC_II,TM105,Yes,ƒ?? New TM105,Minimal coding requirements,J21,,99.90%,Covered
TM105,Visual Development Interfaces,Operations,,OPS,demo-bank-platform,P2,Y,TOC_II,TM105,Yes,ƒ?? New TM105,Visual development interfaces,J21,,99.90%,Covered
TM105,Drag-and-Drop Tools,Operations,,OPS,demo-bank-platform,P2,Y,TOC_II,TM105,Yes,ƒ?? New TM105,Drag-and-drop tools,J21,,99.90%,Covered
TM105,Pre-Built Templates Components,Operations,,OPS,demo-bank-platform,P2,Y,TOC_II,TM105,Yes,ƒ?? New TM105,Pre-built templates and components,J21,,99.90%,Covered
TM110,Peer-to-Peer Lending,Lending & Credit,,LEND,demo-bank-services,P1,Y,TOC_II,TM110,No,ƒ?? Core,Peer-to-peer lending platform,PY,TM079,99.90%,Covered
TM110,Crowdfunding,Lending & Credit,,LEND,demo-bank-services,P1,Y,TOC_II,TM110,No,ƒ?? Core,Crowdfunding platform,PY,TM079,99.90%,Covered
TM110,Digital Credit Scoring,Lending & Credit,FP017,LEND,demo-bank-services,P1,Y,TOC_II,TM110,No,ƒ?? Core,Digital credit scoring,PY,TM079,99.90%,Covered
